City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katobu,-4.9408,122.5276,76.12,93,89,0.63,ID,1615006933
1,mataura,-46.1927,168.8643,64.0,52,84,7.0,NZ,1615006771
2,hukuntsi,-24.0,21.75,73.33,41,67,5.17,BW,1615006933
3,punta arenas,-53.15,-70.9167,53.6,76,90,4.61,CL,1615006765
4,vaini,-21.2,-175.2,84.2,79,75,14.97,TO,1615006782
5,atuona,-9.8,-139.0333,79.47,73,33,14.9,PF,1615006766
6,dikson,73.5069,80.5464,-29.36,85,67,12.1,RU,1615006843
7,maldonado,-34.6667,-54.9167,68.0,68,75,14.97,UY,1615006886
8,nyurba,63.2842,118.3319,0.32,92,100,5.21,RU,1615006935
9,davila,18.4726,120.5763,86.0,74,20,6.91,PH,1615006935
10,souillac,-20.5167,57.5167,78.8,83,75,6.91,MU,1615006831
11,mumford,5.2618,-0.759,79.83,87,100,11.3,GH,1615006936
12,mar del plata,-38.0023,-57.5575,64.0,72,75,8.05,AR,1615006544
13,revelstoke,50.9832,-118.2023,35.6,87,90,2.3,CA,1615006937
14,rikitea,-23.1203,-134.9692,80.53,74,36,8.28,PF,1615006764
15,bluff,-46.6,168.3333,64.0,52,73,7.0,NZ,1615006789
16,eureka,40.8021,-124.1637,42.01,96,100,5.44,US,1615006638
17,kavieng,-2.5744,150.7967,84.06,72,81,4.88,PG,1615006886
18,port alfred,-33.5906,26.891,66.0,91,0,19.6,ZA,1615006773
19,bethel,41.3712,-73.414,33.8,32,90,6.91,US,1615006610
20,ilulissat,69.2167,-51.1,19.4,93,90,11.5,GL,1615006776
21,wuxue,29.8506,115.5525,52.11,85,100,9.24,CN,1615006939
22,yellowknife,62.456,-114.3525,19.4,93,75,13.8,CA,1615006674
23,coquimbo,-29.9533,-71.3436,60.8,94,0,3.44,CL,1615006860
24,hithadhoo,-0.6,73.0833,83.82,62,22,2.26,MV,1615006833
25,inirida,3.8653,-67.9239,74.25,90,94,1.83,CO,1615006816
26,waipawa,-41.4122,175.5153,64.4,68,100,23.02,NZ,1615006787
27,ribeira grande,38.5167,-28.7,59.61,83,83,12.48,PT,1615006830
28,jamestown,42.097,-79.2353,27.0,95,90,13.73,US,1615006734
29,albany,42.6001,-73.9662,26.01,51,82,1.01,US,1615006697
30,bedi,22.5,70.05,81.05,52,0,7.61,IN,1615007232
31,cabo san lucas,22.8909,-109.9124,66.2,52,20,5.75,MX,1615006771
32,cidreira,-30.1811,-50.2056,70.39,85,19,9.84,BR,1615006780
33,labuhan,-6.8844,112.2051,83.05,74,90,5.1,ID,1615006800
34,avarua,-21.2078,-159.775,84.2,74,20,11.5,CK,1615006869
35,esperance,-33.8667,121.9,69.8,78,90,9.22,AU,1615006822
36,ushuaia,-54.8,-68.3,51.8,66,75,17.27,AR,1615006534
37,qaanaaq,77.484,-69.3632,-16.35,67,0,5.95,GL,1615006772
38,long eaton,52.8985,-1.2714,36.0,64,75,2.3,GB,1615007234
39,makakilo city,21.3469,-158.0858,71.6,73,90,4.61,US,1615007234
40,kruisfontein,-34.0033,24.7314,61.0,91,0,5.95,ZA,1615006882
41,ichinohe,40.2069,141.3017,39.2,45,40,20.71,JP,1615007234
